baseline,kind,d,split,horizon,mode,metric,n_enc,r2,r2_ci_lo,r2_ci_hi,mae,mae_ci_lo,mae_ci_hi
jepa_d64_test1_noBN,jepa,64,test_c,16,z_dns,C_D,24,-1.1671012164178967,-3.4076466196600537,0.277585389848088,0.5852535092704074,0.37336070156693324,0.8832354729454661
jepa_d64_test1_noBN,jepa,64,test_c,32,z_dns,C_D,24,-6.701337389995325,-16.91266627810046,-2.0305449128650204,0.21552584863395396,0.1398002163344014,0.30254267475060365
jepa_d64_test1_noBN,jepa,64,test_c,64,z_dns,C_D,24,-2.152010608136666,-8.521208998684692,-0.24866950744417965,0.07676666053075971,0.0507768460072351,0.10500098345731859
jepa_d64_test1_noBN,jepa,64,test_c,1,z_dns,I_y,24,-3.3807703840889367,-6.148617442440707,-1.6151496056337653,3.843560410454947,2.9429590614287235,4.812305691699797
jepa_d64_test1_noBN,jepa,64,test_c,4,z_dns,I_y,24,-4.024521142963842,-8.479276062091026,-1.8909884384383242,3.457488428036316,2.592718813926711,4.375662452429496
jepa_d64_test1_noBN,jepa,64,test_c,8,z_dns,I_y,24,-7.297702874619759,-13.636046980799401,-4.428008841339662,3.6157764835541,2.7048716646252506,4.569195824593669
jepa_d64_test1_noBN,jepa,64,test_c,16,z_dns,I_y,24,-11.189897229481646,-27.500496269768885,-5.258640031228138,3.482553707928799,2.321000654172862,4.7586685523762835
jepa_d64_test1_noBN,jepa,64,test_c,32,z_dns,I_y,24,-5.705508151348249,-13.915501256799326,-3.199860664981792,2.992655861361589,2.3082290940723214,3.7931979686641926
jepa_d64_test1_noBN,jepa,64,test_c,64,z_dns,I_y,24,0.176135175339578,-0.42868998705867317,0.32187187643332127,3.639450011466663,2.3753157984712225,4.978582489733928
jepa_d64_test1_noBN,jepa,64,test_c,1,z_dns,wake_enstrophy,24,-1.3557364538002594,-4.215099161073187,-0.3365824895162306,99.31496844785028,82.21248321542502,116.89368051869701
jepa_d64_test1_noBN,jepa,64,test_c,4,z_dns,wake_enstrophy,24,-0.3894094394980807,-1.9928991750498106,0.22429209481195472,97.48526023653433,80.62614849485271,114.98676487191479
jepa_d64_test1_noBN,jepa,64,test_c,8,z_dns,wake_enstrophy,24,0.7865226103383012,0.5859217459399988,0.8914636957276431,54.45225135236228,37.59552687356644,71.74366041139187
jepa_d64_test1_noBN,jepa,64,test_c,16,z_dns,wake_enstrophy,24,0.7999308244784218,0.5793241140601864,0.8958482461366474,78.2808039045632,58.780255412558596,98.69004810421539
jepa_d64_test1_noBN,jepa,64,test_c,32,z_dns,wake_enstrophy,24,0.8350052804415702,0.7273898238994648,0.8994218561984069,54.77555855842052,39.68043625240298,70.92429546149262
jepa_d64_test1_noBN,jepa,64,test_c,64,z_dns,wake_enstrophy,24,0.8930185404351657,0.795166938125293,0.9323284399296142,27.994150578325076,22.633415287775453,33.623166644560314
jepa_d64_test1_noBN,jepa,64,test_c,1,z_dns,circulation_pos,24,-1.2092390438351854,-2.70966470660648,-0.5394211145746486,1.8495970729221172,1.5465706110188362,2.134563856265341
jepa_d64_test1_noBN,jepa,64,test_c,4,z_dns,circulation_pos,24,-2.138338471868109,-6.885624169793385,-0.7416546038100154,2.2538934696348965,1.9342011785797653,2.546646499346414
jepa_d64_test1_noBN,jepa,64,test_c,8,z_dns,circulation_pos,24,-0.7760705720344749,-3.9149746646881605,0.28688935170740787,1.4980162836899413,0.9663471772286469,2.0907839546835727
jepa_d64_test1_noBN,jepa,64,test_c,16,z_dns,circulation_pos,24,0.27107974700783,-0.4373085187673076,0.5521489539140937,1.388457225408971,1.1018531892655712,1.663098716991184
